vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
1918-1931,1,"Аббе, А.",АббеА,Как сделать проекционный фонарь и эпидиоскоп,NA,NA,NA,Л.; М.,Научное кн-во,1926,Библиотека журн. «В мастерской природы». Для умелых рук,38,6000,0.4,NA
1918-1931,2,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,44,4000,0.6,NA
1918-1931,3,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,Изд. 2-е,NA,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,NA
1918-1931,4,"Аббе, А.",АббеА,Самодельные гальванические элементы,NA,Изд. 3-е,NA,Л.,Научное кн-во,1931,Библиотека журн. «В мастерской природы». Для умелых рук,44,5000,0.4,NA
1918-1931,5,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,NA
1918-1931,6,"Аббе, А.",АббеА,Самодельные электрические аккумуляторы,NA,Изд. 2-е,NA,Л.,Научное кн-во,1929,Библиотека журн. «В мастерской природы». Для умелых рук,52,5000,0.45,NA
1918-1931,7,"Аббе, А.",АббеА,Электрический трамвай,Рабочая модель,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,32,5000,0.35,NA
1918-1931,8,"Абесгауз, Б.",АбесгаузБ,Памятка кружку ЮДМ (юных друзей МОПР),NA,NA,NA,М.,изд-во ЦК МОПР СССР,1930,NA,16,75000,0.4,NA
1918-1931,9,"Аби, Я. С.",АбиЯС,Путешествие для примера всем пионерам,NA,Рис. И. Вакс и Н. Кравченко.,NA,Л.,Красная звезда,1925,NA,10,5100,0.5,NA
1918-1931,15,"Абрамов, А.; Голицын, В.",ГолицынВ,Сделай сам конвейер,NA,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,48,25000,0.35,NA
1918-1931,16,"Абрамов, И. С.",АбрамовИС,Что говорят забытые могилы,NA,Предисл. М. В. Новорусского. Изд. 2-е,NA,М.,Жизнь и знание,1927,Библиотека для юношества,169,8000,2,NA
1918-1931,17,"Абрамов, Я. В.",АбрамовЯВ,Георг Стефенсон,NA,NA,NA,П.,Сотрудничество,1919,NA,48,20000,NA,NA
1918-1931,18,"Абрамов, Я. В.",АбрамовЯВ,Роберт Фультон,NA,NA,NA,П.,Сотрудничество,1919,NA,32,20000,NA,NA
1918-1931,37,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,NA,Кишинев,Бессарабское кн-во,1918,NA,NA,NA,NA,NA
1918-1931,38,"Аверин, В.",АверинВ,Бесик,История одного хорька,Изд. 2-е,NA,М.,Знание,1924,Библиотека юного натуралиста,20,5000,0.15,NA
1918-1931,43,"Авсюкевич, В.",АвсюкевичВД,Как мы защищаемая с моря,Кронштадт,NA,NA,М.; Л.,Огиз — Учпедгиз,1931,Краев. библиотека школьника,64,10000,0.35,NA
1918-1931,78,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,NA,NA,М.,Крестьянская газета,1928,Библиотека «Дружные ребята»,30,25000,0.1,NA
1918-1931,79,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,NA,NA,М.,Крестьянская газета,1929,Библиотека «Дружные ребята»,30,30000,0.1,NA
1918-1931,80,"Адамович, П. А.",АдамовичПА,Гудочек,Как самому сделать музыкальный инструмент,Изд. 2-е,NA,М.,Крестьянская газета,1931,Библиотека «Дружные ребята»,48,30000,0.1,NA
1918-1931,81,"Адольф, Н.",АдольфН,Забастовка,NA,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,32,25000,0.3,NA
1918-1931,86,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,NA,NA,NA,Л.; М.,Радуга,1926,NA,11,30000,0.23,NA
1918-1931,86,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,NA,NA,NA,Л.; М.,Радуга,1926,NA,11,30000,0.23,NA
1918-1931,87,"Азаров, К.; Мазуркевич, В.",АзаровК,Ковер-самолет,NA,Изд. 3-е,NA,Л.,Радуга,1930,NA,11,80000,0.1,NA
1918-1931,87,"Азаров, К.; Мазуркевич, В.",МазуркевичВ,Ковер-самолет,NA,Изд. 3-е,NA,Л.,Радуга,1930,NA,11,80000,0.1,NA
1918-1931,88,NOAUTHOR,NA,АЗБУКА,NA,Рис. Н. Лемана.,NA,М.,Акад. пед. наук СССР,1924,NA,32,3000,NA,NA
1918-1931,88а,NOAUTHOR,NA,АЗБУКА,NA,Изд. 2-е,NA,М.,изд. автора,1924,NA,32,10000,NA,NA
1918-1931,89,NOAUTHOR,NA,АЗБУКА,NA,Рис. А. Ананова.,NA,Л.,Радуга,1924,NA,14,20000,NA,NA
1918-1931,90,NOAUTHOR,NA,АЗБУКА,Раскраска,Рис. Бруни и Коршикова.,NA,Л.; М.,Радуга,1928,NA,10,20000,0.3,NA
1918-1931,91,NOAUTHOR,NA,АЗБУКА-КРОШКА,NA,NA,NA,Одесса,БИП,1928,NA,12,10000,0.6,NA
1918-1931,92,NOAUTHOR,NA,АЗЕРБАЙДЖАНСКАЯ ПИОНЕРИЯ К VIII СЪЕЗДУ АЛКСМ,NA,NA,NA,Баку,ЦБ ДКО при ЦК AЛKCM,1929,NA,27,2000,NA,NA
1918-1931,95,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,NA,NA,NA,М.,Огиз—Молодая гвардия,1930,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,15000,0.12,NA
1918-1931,96,"Акодус, Я. И.",АкодусЯИ,Будь готов к санитарной обороне,NA,Изд. 2-е,NA,М.; Л.,Огиз—Молодая гвардия,1931,"Библиотека пионера-активиста. Серия «Пионер, крепи оборону страны»",32,30100,0.12,NA
1918-1931,97,Аксагорская,Аксагорская,Серпок и молоток,NA,Рис. А. Комарова.,NA,М.,Г. Ф. Мириманов,1925,Библиотека школьника,23,10000,0.35,NA
1918-1931,100,"Актан, Г. А.[Гильгендорф].",АктанГА,Белая шахта,Экскурсия на соляной рудник в Донбассе,NA,NA,М.; Л.,Огиз—Молодая гвардия,1926,Библиотека юного пионера,70,10000,0.25,NA
1918-1931,101,"Актан, Г. А.[Гильгендорф].",АктанГА,Пионерам о Красном флоте,NA,Предисл. В.  Зофа.,NA,М.,Новая Москва,1925,Библиотека юного пионера,76,10000,0.3,NA
1918-1931,102,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",NA,NA,NA,М.,Новая Москва,1925,Библиотека юного пионера,75,10000,0.3,NA
1918-1931,103,"Актан, Г. А.[Гильгендорф].",АктанГА,"Пионерам о лыжах, коньках и салазках",NA,Изд. 2-е,NA,М.,Огиз—Физкультура и туризм,1931,Библиотека юного пионера,40,10000,0.45,NA
1918-1931,104,"Акулов, Ф.",АкуловФ,Отцы и дети,Профсоюзы и пионеры,NA,NA,М.,Огиз—Молодая гвардия,1929,Библиотека пионерского слета. Серия «В дни слета»,39,15000,0.1,NA
1918-1931,147,NOAUTHOR,NA,АЛАДИН и ВОЛШЕБНАЯ ЛАМПА,NA,Рис. Н. Ульянова.,NA,М.,I. Кнебель,1918,NA,10,5000,NA,NA
1918-1931,150,"Алампиев, П.",АлампиевП,История транспорта,NA,NA,NA,Харьков,Всеукр. о-во содейств. юному ленинцу,1925,Библиотека юного ленинца,52,10000,0.14,NA
1918-1931,186,"Албычев, П.; Чикин, А.",ЧикинАА,Стереоскоп,NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Для умелых рук,43,5000,0.45,NA
1918-1931,187,"Алдошин, Н.",АлдошинН,Детская куроводная артель,NA,NA,NA,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,NA,15,800,NA,NA
1918-1931,188,"Алдошин, Н.",АлдошинН,Детский колхоз,NA,NA,NA,Орел,изд. Орловск. окр. бюро ДКО и ДТСХС,1930,NA,20,800,NA,NA
1918-1931,192,"Александров, В.",АлександровВ,О Лене,NA,NA,NA,Харьков,Юный ленинец,1925,Библиотека юного ленинца,68,20000,0.2,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",АлександровВ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",КотовИ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,193,"Александров, В.; Котов, И.; Мушкин, М.",МушкинМ,Фабрика имени Степана Халтурина,NA,NA,NA,М.,Учпедгиз,1931,Рабкоры-ударники—политехнической школе. Серия под общей редакцией М. А. Сергеева,88,15000,0.45,NA
1918-1931,199,"Алексеев, В.",АлексеевВ,Сэм и Дик,Эпизод из эпохи гражданской войны Северо-Америк. штатов,Рис. М. Шервинской.,NA,М.,Работник просвещения,1928,Читальня советской школы,35,10000,0.22,NA
1918-1931,209,"Алелекков, Л.",АлелекковЛ,Фабрика инженеров,NA,NA,NA,М.,Огиз—Молодая гвардия,1930,Деритесь за политехнизм,48,30100,0.13,NA
1918-1931,211,"Алешин, В.",АлешинВ,Пирог,NA,NA,NA,М.,Гиз,1928,Новая детская библиотека,14,35000,0.5,NA
1918-1931,212,"Алешин, В.",АлешинВ,Отдых юного пионера,NA,NA,NA,Ростов-Дон,Акад. пед. наук СССР,1925,Библиотека пионера,34,10000,0.15,NA
1918-1931,213,NOAUTHOR,NA,АЛИ-БАБА или СОРОК РАЗБОЙНИКОВ,NA,NA,NA,М.,И. Д. Сытин,1918,NA,39,10000,NA,NA
1918-1931,281,Алфеевский; Лебедева,Алфеевский,На якоре,Книжка-картинка,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,12,25000,0.3,NA
1918-1931,281,Алфеевский; Лебедева,ЛебедеваТ,На якоре,Книжка-картинка,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,12,25000,0.3,NA
1918-1931,282,Алфеевский; Лебедева,Алфеевский,Парк культуры и отдыха,Книжка-картинка,NA,NA,М.,Гиз,1930,NA,16,25000,0.4,NA
1918-1931,282,Алфеевский; Лебедева,ЛебедеваТ,Парк культуры и отдыха,Книжка-картинка,NA,NA,М.,Гиз,1930,NA,16,25000,0.4,NA
1918-1931,288,"Алымов, В.",АлымовВ,Лопари,NA,NA,NA,М.,Крестьянская газета,1930,Библиотека «Дружные ребята»,63,30000,0.15,NA
1918-1931,289,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫПИЛИВАНИЯ,NA,NA,NA,Л.,Акад. пед. наук СССР,1929,Библиотека журн. «В мастерской природы»,16,5000,1,NA
1918-1931,290,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,NA,NA,М.,Акад. пед. наук СССР,1924,NA,6,10000,NA,NA
1918-1931,291,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 1-й. В. Денисов. Модели,NA,М.,Г. Ф. Мириманов,NA,NA,NA,NA,0.75,NA
1918-1931,291а,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 3-й. Игрушки-самоделки,NA,М.,Г. Ф. Мириманов,1925,NA,7,10000,0.75,NA
1918-1931,292,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 4-й. Наш дом,NA,М.,Г. Ф. Мириманов,1925,NA,7,10000,0.75,NA
1918-1931,293,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 5-й. Цирк и зверинец. 1. Цирк. 2. Звери,NA,М.,Г. Ф. Мириманов,1925,NA,12,10000,0.75,NA
1918-1931,294,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 6-й. Красная армия,NA,М.,Г. Ф. Мириманов,1925,NA,7,10000,0.75,NA
1918-1931,295,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 9-й. Сост. В. Н. Денисов,NA,М.,Г. Ф. Мириманов,1925,NA,7,10000,0.75,NA
1918-1931,296,NOAUTHOR,NA,АЛЬБОМ ДЛЯ ВЫРЕЗЫВАНИЯ И СКЛЕИВАНИЯ,NA,Вып. 10-й. Игры на столе,NA,М.,Г. Ф. Мириманов,1926,NA,12,10000,0.75,NA
1918-1931,297,NOAUTHOR,NA,АЛЬБОМ ДЛЯ РАСКРАШИВАНИЯ СИНИМ И КРАСНЫМ КАРАНДАШОМ,NA,Рис. Коса.,NA,М.,Акад. пед. наук СССР,1925,NA,14,5000,0.6,NA
1918-1931,298,NOAUTHOR,NA,АЛЬМАНАХ ДЛЯ ДЕТЕЙ И ЮНОШЕСТВА,Сборник новых произведений,Под ред. Я. Тугенхольда.,NA,М.,Известия ЦИК СССР и ВЦИК,1924,Библиотека «Красной нивы». Приложение к журн. «Красная нива»,106,15000,NA,NA
1918-1931,299,NOAUTHOR,NA,АЛЬБОМ РИСУНКОВ ДЛЯ ВЫПИЛИВАНИЯ,NA,NA,NA,М.,Г. Ф. Мириманов,1925,NA,7,10000,NA,NA
1918-1931,300,"Альдим, Н.",АльдимН,Вокруг света без билета,Записки комсомольца,NA,NA,Л.,Прибой,1929,NA,166,NA,0.75,NA
1918-1931,304,NOAUTHOR,NA,АМБАРНЫЕ ВРЕДИТЕЛИ И ДОМАШНИЕ ПАРАЗИТЫ И БОРЬБА С НИМИ,NA,Под ред. Н. В. Ставинского.,NA,Ростов-Ярославский,Акад. пед. наук СССР,1930,Ярославск. окр. бюро юных натуралистов. Библиотечка по борьбе с вредителями с.-х. культур,12,500,NA,NA
1918-1931,314,"Амыльский, Н.",АмыльскийН,В стране светлых лесов и степей,Как живут и чем промышляют башкиры,NA,NA,М.,Работник просвещения,1929,Читальня советской школы,64,10000,0.25,NA
1918-1931,408,"Андреев, М.; Подугольников, М.",ПодугольниковМ,Кочевой лагерь,NA,NA,NA,М.; Саратов,Огиз—Молодая гвардия,1930,NA,72,10000,0.25,NA
1918-1931,411,Андрей,Андрей,Пионерам о Первом мае,Сборник материалов для пионеров и октябрят,NA,NA,Тифлис,Заккнига,1926,NA,31,2000,0.2,NA
1918-1931,412,"Андре, Марти",АндреМ,Рис,Н. Купреянова,NA,NA,М.,Гиз,1930,NA,16,30000,0.4,NA
1918-1931,413,"Андре, Марти",АндреМ,Рис,Н. Купреянова,Изд. 2-е,NA,М.,Огиз—Молодая гвардия,1931,NA,16,30000,0.4,NA
1918-1931,414,"Андренко, Л.",АндренкоЛ,В царстве радио,NA,NA,NA,Харьков,Юный ленинец,1925,Библиотека юного ленинца,74,15000,0.21,NA
1918-1931,415,"Андренко, Л.",АндренкоЛ,Среди планет,NA,Под ред. проф. Б. Герасимовича.,NA,Харьков,Юный ленинец,1924,Библиотека юного ленинца,52,10000,0.13,NA
1918-1931,416,"Андренко, Л.",АндренкоЛ,Юный астроном,Практическое руководство к астрономическим наблюдениям невооруженным глазом и небольшой трубой,"Сост. по Фламмариону, Покровскому и др. Под. ред. П. Барабашева.",NA,Харьков,Юный ленинец,1925,Библиотека юного ленинца,84,10000,0.28,NA
1918-1931,417,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 1,NA,NA,NA,Б. м.,Акад. пед. наук СССР,1924,NA,12,3500,NA,NA
1918-1931,418,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 2,NA,NA,NA,Б. м.,Акад. пед. наук СССР,1924,NA,12,3500,NA,NA
1918-1931,419,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 3,NA,NA,NA,М.,изд. автора,1925,NA,12,3500,NA,NA
1918-1931,420,"Андреянов, Н.",АндреяновН,Рисование по клеткам. № 4,NA,NA,NA,М.,изд. автора,1925,NA,12,3500,NA,NA
1918-1931,421,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 1,NA,NA,NA,М.,изд. автора,1925,NA,16,4000,NA,NA
1918-1931,422,"Андреянов, Н.",АндреяновН,Рисунки для раскрашивания. № 2,NA,NA,NA,М.,изд. автора,1925,NA,16,4000,NA,NA
1918-1931,451,"Аникин, Г. Л.",АникинГЛ,Как сделать фотоаппарат с мехом и принадлежности к нему,NA,NA,NA,Н.-Новгород,Нижегородск. краев. детск. технич. станция при крайоно и крайбюро ДКО ЮП,1930,NA,5,5000,NA,NA
1918-1931,453,"Анненская, А.",АнненскаяА,Фритиоф Нансен и его путешествия в Гренландию и к северному полюсу,NA,NA,NA,М.,Новая Москва,1922,NA,276,6000,NA,NA
1918-1931,454,"Антошин, С.",АнтошинС,Как пионеру разводить овощи,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,56,5000,0.35,NA
1918-1931,455,"Антошин, С.",АнтошинС,Пионеру о животноводстве,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,78,5000,0.5,NA
1918-1931,456,"Антошин, С.",АнтошинС,Работа в поле,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1927,Пионеры и сельское хозяйство,40,5000,0.3,NA
1918-1931,459а,NOAUTHOR,NA,АППАРАТЫ ДЛЯ БОРЬБЫ С ВРЕДИТЕЛЯМИ,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1930,Библиотечка журн. «Юный натуралист»,8,100000,0.2,NA
1918-1931,460,"Апетов, Е.",АпетовЕ,Поход курских городских пионеров,NA,NA,NA,Курск,изд. Горбюро пионеров при Горрайкоме ВЛКСМ,1930,За выполнение решений слета,32,2000,0.8,NA
1918-1931,472,NOAUTHOR,NA,АРАБСКИЙ ГОРОД,NA,Рис. А. Рогинской.,NA,М.; Л.,Гиз,1930,NA,14,20000,0.35,NA
1918-1931,481,"Аржанов, С. П.",АржановСП,Занимательная география,NA,Рис. Ю. Д. Скалдина.,NA,Л.,Время,1929,NA,199,6200,1.5,NA
1918-1931,482,"Аржанов, С. П.",АржановСП,Занимательная география,NA,Изд. 2-е,NA,Л.,Время,1930,NA,192,6070,1.3,NA
1918-1931,483,"Аристова, П. М.",АристоваПМ,Октябрьская революция,NA,Рис. А. Боровской.,NA,М.; Л.,Гиз,1927,NA,147,10000,0.75,NA
1918-1931,484,"Аронович, Ц.",АроновичЦ,"Пионер, к борьбе с религией будь готов",NA,NA,NA,Хабаровск,изд. Дальневост. совета Союза воинств. безбожников,1930,NA,22,2000,NA,NA
1918-1931,488,"Арский, Р.",АрскийР,Что такое МОПР,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1926,Беседы у костра,36,15000,0.12,NA
1918-1931,495,"Арцишевский, В. В.",АрцишевскийВВ,Утренняя гимнастика школьника и пионера,Шестнадцать комплексов упражнений  от 8 до 16 лет,Под ред. и с предисл. А. А. Жемчужникова.,NA,М.,Огиз — Учпедгиз,1931,NA,100,10000,0.6,NA
1918-1931,511,"Ассанов, Н. А.",АссановНА,Домна,NA,Рис. Е. Ечеистова.,NA,М.,Гиз,1930,NA,12,20000,0.22,NA
1918-1931,512,"Ассанов, Н. А.",АссановНА,Ледоколы,Радиостанции,Рис. М. Синяковой.,NA,М.; Л.,Гиз,1930,NA,32,75000,0.24,NA
1918-1931,514,"Астафьева, Е.",АстафьеваЕ,Дети на солнце,Книжка-картинка,NA,NA,М.,Гиз,1930,NA,12,20000,0.22,NA
1918-1931,515,"Астафьева, Е.",АстафьеваЕ,Индия,Книжка-картинка,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,12,30000,0.22,NA
1918-1931,559,"Афанасьев, И. П.",АфанасьевИП,"Реостаты, как их рассчитать и построить",NA,NA,NA,Л.,Научное кн-во,1930,Библиотека журн. «В мастерской природы». Для умелых рук,136,5000,1,NA
1918-1931,560,"Афанасьев, Б. П.",АфанасьевБП,Химик-любитель. 50 опытов по химии  и дома,NA,NA,NA,Л.,Научное кн-во,1930,Библиотека журн. «В мастерской природы». Для умелых рук,96,5000,0.7,NA
1918-1931,563,"Афанасьева, А.; Берман, Л.",АфанасьеваА,Пионерские живые газеты,NA,NA,NA,Л.,Прибой,1928,NA,192,5000,1,NA
1918-1931,563,"Афанасьева, А.; Берман, Л.",БерманЛВ,Пионерские живые газеты,NA,NA,NA,Л.,Прибой,1928,NA,192,5000,1,NA
1918-1931,564,"Афанасьева, А.; Туберовский, М.",АфанасьеваА,Самая скорая газета,NA,Фотомонтаж И. Каплан.,NA,М.; Л.,Огиз—Молодая гвардия,1931,NA,168,15000,0.75,NA
1918-1931,568,"Афонский, П. И.",АфонскийПИ,Весенняя атака,NA,Рис. К. Ротова.,NA,М.; Л.,Огиз—Молодая гвардия,1930,NA,33,30000,0.1,NA
1918-1931,570,"Африканова, Н.",АфрикановаН,Юннаты за работой,NA,NA,NA,М.,Работник просвещения,1930,NA,52,4000,0.25,NA
1918-1931,571,"Ахметьев, В. И.",АхметьевВИ,Лето,Книжка картинка,NA,NA,М.,Огиз—Молодая гвардия,1931,NA,12,50000,0.22,NA
1918-1931,572,"Ахтырская, З.",АхтырскаяЗ,Степан Халтурин,Искусный полировщик,NA,NA,М.; Л.,Учпедгиз,1931,Рабочая библиотека школьника 1 ст. Серия биографическая,61,10000,0.25,NA
1918-1931,573,"Ахтырская, З.",АхтырскаяЗ,Цареубийца,София Перовская,NA,NA,М.; Л.,Гиз,1930,Рабочая библиотека школьника 1 ст,55,10000,0.2,NA
1918-1931,573а,"Ахшарумова, К.",АхшарумоваК,Гнедко,NA,NA,NA,М.,Ступин,1919,NA,40,NA,NA,NA
1918-1931,580,Аэл,Аэл,Дети Персии,NA,Рис. Ф. Полищук.,NA,М.; Л.,Огиз—Молодая гвардия,1931,NA,48,15000,0.3,NA
1918-1931,581,NOAUTHOR,NA,АЭРОСАНИ,NA,NA,NA,Свердловск,Дом дет-комдвижения,1931,NA,4,1000,NA,NA
1918-1931,582,Б. С.,Б. С.,Маленьким художникам,Альбом для раскрашивания,NA,NA,Л.,изд. автора,1924,NA,28,5000,NA,NA
1918-1931,601,NOAUTHOR,NA,БАБУШКА-ЗАБАВУШКА И СОБАЧКА БУМ,NA,NA,NA,М.,Новая деревня,1923,NA,12,10000,NA,NA
1918-1931,602,NOAUTHOR,NA,БАБУШКА И КОЗЛИК,NA,Рис. Ястребовой.,NA,Саратов,изд. Саратовского полиграф-прома,NA,NA,10,3000,NA,NA
1918-1931,606,"Баде, Е.",БадеЕ,"Террариум, как его сделать, засадить и заселить",NA,NA,NA,Л.,Научное кн-во,1928,Библиотека журн. «В мастерской природы». Изучай природу,62,5000,0.45,NA
1918-1931,625,"Байсутов, Н. И.",БайсутовНИ,В китайской деревне,NA,NA,NA,М.,Работник просвещения,1928,Читальня советской школы,79,10000,0.4,NA
1918-1931,626,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,NA,NA,М.,Работник просвещения,1927,Читальня советской школы,49,5000,0.35,NA
1918-1931,627,"Байсутов, Н. И.",БайсутовНИ,В песчаных степях,Как живут и чем промышляют туркмены,Изд. 2-е,NA,М.,Работник просвещения,1927,Читальня советской школы,52,10000,0.35,NA
1918-1931,628,"Байсутов, Н. И.",БайсутовНИ,В стране самых больших морозов,Как живут и чем промышляют якуты,NA,NA,М.,Работник просвещения,1928,Читальня советской школы,65,10000,0.25,NA
1918-1931,629,"Байсутов, Н. И.",БайсутовНИ,Красные пики,Пробуждающийся Китай. Сборник,NA,NA,М.,Работник просвещения,1928,Читальня советской школы,60,10000,0.35,NA
1918-1931,630,"Байсутов, Н. И.",БайсутовНИ,Страна кочевников,Монголия,NA,NA,М.,Работник просвещения,1929,Читальня советской школы,95,10000,0.4,NA
1918-1931,631,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,NA,NA,М.,Работник просвещения,1927,Читальня советской школы,64,5000,0.4,NA
1918-1931,632,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 2-е,NA,М.,Работник просвещения,1927,Читальня советской школы,64,10000,0.4,NA
1918-1931,633,"Байсутов, Н. И.",БайсутовНИ,"Там, где растет хлопок",Как живут и чем промышляют узбеки,Изд. 3-е,NA,М.,Работник просвещения,1930,Читальня советской школы,64,5000,0.4,NA
1918-1931,634,"Байсутов, Н. И.",БайсутовНИ,У теплого моря,Как живут и чем промышляют крымские татары,NA,NA,М.,Работник просвещения,1928,Читальня советской школы,56,10000,0.35,NA
1918-1931,636,БАМАТЕР,БаматтерЗ,Международная детская неделя,NA,NA,NA,М.,Новая Москва,1925,Библиотека юного пионера,32,15000,0.8,NA
1918-1931,638,"Банчик, Е. П.",БанчикЕП,Пионеру о химической войне,NA,NA,NA,М.,Новая Москва,1925,Библиотека юного пионера,71,15000,0.4,NA
1918-1931,724,"Барто, А.; Ечеистов, Г.",ЕчеистовГ,Жара-жарища,NA,NA,NA,Киев,Культура,1929,NA,11,30000,0.15,NA
1918-1931,725,"Барто, А.; Ечеистов, Г.",ЕчеистовГ,Жара-жарища,NA,NA,NA,Киев,Культура,1929,NA,11,30000,0.13,NA
1918-1931,733,"Бартрам, Н.",БартрамН,Игры с масками и уборами,NA,NA,NA,М.; Л.,Гиз,1926,Своими руками,61,10000,0.55,NA
1918-1931,760,"Басманов, П.",БасмановП,День птиц,Картинки с текстом,NA,NA,М.,Гиз,1930,NA,11,30000,0.22,NA
1918-1931,761,"Басс, Р.",БассР,Мирские Захребетники,NA,NA,NA,М.; Л.,Огиз—Молодая гвардия,1930,Библиотека юного натуралиста,48,10000,0.2,NA
1918-1931,762,"Басс, Р.",БассР,Мирские Захребетники,NA,Изд. 2-е,NA,М.,Огиз—Молодая гвардия,1931,Библиотека юного натуралиста,64,10000,0.2,NA
1918-1931,766,NOAUTHOR,NA,БАУМАНЦЫ,Живые дела бауманских пионеров и школьников,NA,NA,М.,изд. бюро ДКО баум. РК ВЛКСМ,1929,NA,78,2000,NA,NA
1918-1931,771,"Бахарев, А.",БахаревА,В мастерской растений,Питомник И. В. Мичурина,NA,NA,М.,Крестьянская газета,1930,Библиотека «Дружные ребята»,80,60000,0.18,NA
1918-1931,792,NOAUTHOR,NA,БЕЖИМ В СТРАНУ КРАСНОКОЖИХ,Замечательные приключения храбрых юных путешественников,NA,NA,П.,Книга,1923,NA,60,3000,NA,NA
1918-1931,793,"Безбородов, С.",БезбородовС,Сигналы,Об антисемитизме,NA,NA,Л.,Красная газета,1929,Библиотека юного пролетария,61,10000,0.25,NA
1918-1931,796,"Безыменский, А.",БезыменскийА,Товарищ Вова-инженер,NA,Рис. Б. Титова.,NA,Харьков,Пролетарий,1930,NA,13,15000,0.3,NA
1918-1931,809,NOAUTHOR,NA,БЕЛКА БОБОЧКА,Приключения одной белочки,Рис. С. Гольдмана.,NA,Одесса,Одессполиграф,1926,NA,16,3000,0.6,NA
1918-1931,810,NOAUTHOR,NA,БЕЛКА БОБОЧКА,Приключения одной белочки,Рис. С. Гольдмана.,NA,Одесса,Одессполиграф,1927,NA,16,3000,0.5,NA
