vol,num,author,author_std,title,subtitle,editorial,genre,city,publisher,year,series,pages,printrun,price,contents
1951-1952,939,NOAUTHOR,NA,Летние задания учащимся по изготовлению учебных пособий по биологии,NA,NA,NA,Иваново,Акад. пед. наук СССР,1951,"Областной отдел народного образования. Ивановская областная станция юных натуралистов. В помощь пионерским лагерям, школам и кружкам юннатов",NA,1100,NA,NA
1951-1952,943,"Липин, Л.; Белов, А.",БеловА,Глиняные книги,NA,/: Научная редакция и предисловие академика В. В. Струве. С фотоиллюстрациями. Оформление Ю. Киселева.,NA,М.; Л.,Детгиз,1952,NA,300,30000,5.95,"Предисловие; Гл. 1. Отец русской ассириологии (М. В. Никольский.) — Гл. 2. Поиски Ниневии; Гл. 3. Как научились читать клинопись; Гл. 4. Во славу отечественной науки; Гл. 5. Рабочий, ставший мировым ученым; Гл. 6. Как изготовлялись глиняные книги; Гл. 7. Хозяин ниневийской библиотеки и его эпоха; Гл. 8. Мифы и сказания древнего Двуречья; Гл. 9. Точные и естественные науки; Гл. 10. Медицина и фармакология; Гл. 11. Законы рабовладельцев"
1951-1952,949,NOAUTHOR,NA,Литературные тексты,"Материалы к программам утренников и вечеров учащихся 5-х — 10-х классов, посвященных Великой Октябрьской социалистической революции",NA,NA,М.,Акад. пед. наук СССР,1951,Мособлоно. Московский областной дом художественного воспитания детей. Репертуарный листок,NA,1000,NA,А. Сурков. Путь к коммунизму; КВаншен-кин. Любимая книга; А. Сурков. Вождю народов; С. Щипачев. Я славлю; М. Чиаурели и М. Болыпинцов. Великое зарево; В. Маяковский. Хорошо! (Отрывок.) — В. Саянов. Ленин в Горках; Г. Леонидзе; Песня о Сталине; М. Алигер. Наш Ленин; С. Маршак. Ленин; А.  Толстой. Оборона Царицына. (Отрывок.) —Ч. Цыдендамбаев. Говорящий узор. Перевод с бурят-монгольского Т. Стрешнева; Г. Гулиа. Добрый город. (Отрывок.) — Б. Емельянов. Одна ночь; А. Безыменский. Разговор с товарищем Лениным; Б. Раевский. В албанской деревушке; ЯСмоляков. Наш герб. (Легенда.) — А. С. Серафимович. Железный поток. (Отрывок.) — А. Фадеев. Молодая гвардия. (Отрывок.)
1951-1952,969,"Лялицкая, С. Д.",ЛялицкаяСД,В дельте Волги,С фотоиллюстрациями,NA,NA,Астрахань,изд. газ. Волга,1951,NA,100,5000,3.15,NA
1951-1952,970,"Лялицкая, С. Д.",ЛялицкаяСД,Следопыты Ильменских гор,NA,NA,NA,Челябинск,"Челябинское областное государств, изд-во",1951,NA,103,15000,2.5,Подарок геолога; Рассказ Люси; Как в сказке; «Дом загадок»; Прутов-ская закопушка; В мире камней; Чудесные минералы; Ильменские горщики; На Ишкуль-ском кордоне; Косуля и олень-цветок; У озера Аргази; Мастер-гранильщик; Энтузиасты заповедника; Соколиная скала; Озеро Кисегач; Ночь в лесу; Маленькая хозяйка леса; Гудковский кордон; Рыба под мхом; Дети сумрака и дети солнца; Искусные строители; Юные разведчики; По зеркальной глади
1951-1952,1062,"Меркульева, К.",МеркульеваКА,Встречи в степи,NA,Иллюстр. Г. Праксейна.,NA,М.; Л.,Детгиз,1952,NA,84,30000,2.3,NA
1951-1952,1063,NOAUTHOR,NA,Методика проведения наблюдений над погодой без приборов,NA,NA,NA,Омск,Акад. пед. наук СССР,1952,Омская областная станция юных натуралистов и опытников сельского хозяйства,NA,1000,NA,NA
1951-1952,1064,"Мильман, Н. И.",МильманНИ,Как укрепить здоровье школьника летом,Радиолекция для школьников,NA,NA,М.,Акад. пед. наук СССР,1952,Министерство здравоохранения СССР. Центральный институт санитарного просвещения,NA,1200,NA,NA
1951-1952,1066,"Минаева, В. Г.",МинаеваВГ,Лекарственные растения Сибири,NA,NA,NA,Новосибирск,Новосибирское областное государств. изд-во,1951,Библиотечка школьника-краеведа,144,3000,2.95,NA
1951-1952,1067,"Минин, Д.",МининД,Собирайте семена деревьев и кустарников,NA,/: Рисунок на обложке В. Ладягина. Оформление М. Борисовой-Мусатовой.,NA,М.; Л.,Детгиз,1952,Школьная библиотека,24,100000,0.4,NA
