vol,num,corr,author,title,subtitle,editorial,series,publisher,contents
1932-1939,592,album,NOAUTHOR,"Веселая прогулка",NA,"Постановка для   теневого театра. Разработано Т. Караманенко. Текст О. Высотской.","Центр. дом худож. воспитания детей РСФСР. Худож. материалы","Акад. пед. наук СССР",NA
1918-1931,630,nonfic,"Байсутов, Н. И.","Страна кочевников",Монголия,NA,"Читальня советской школы","Работник просвещения",NA
1918-1931,6446,album,NOAUTHOR,"МОЯ АЗБУКА",NA,NA,NA,"Акад. пед. наук СССР",NA
1918-1931,4914,nonfic,"Кригер, Е.","20 событий",NA,"Рис. Житинева.","Ударные книжки","Огиз—Молодая гвардия",NA
1940-1945,1131,method,NOAUTHOR,"Конкурс на лучшее издание книг",NA,NA,"Наркомпрос РСФСР",Детгиз,NA
1932-1939,1912,method,"Ленин, В. И. К.","Положение рабочих и крестьян в царской России",Сборник,NA,"Школьная библиотека",Гослитиздат,NA
1932-1939,2806,method,NOAUTHOR,"Пойду ль я, выйду ль я","Массовые танцы. Подготовлено к печати Центр, домом худож. воспитания детей РСФСР",NA,NA,Искусство,NA
1918-1931,3994,method,NOAUTHOR,"КАК ПРАВИЛЬНО ВЫРАЩИВАТЬ ЦЫПЛЯТ",NA,NA,"Орловск. окр. детск. технич. и с.-х. станция","Акад. пед. наук СССР",NA
1946-1948,1658,method,"Тимофеев, С. И.","Как измерить ширину, глубину и скорость течения реки",NA,"Изд. 2-е","Центральная детская экскурсионно-туристическая станция Министерства просвещения РСФСР","Акад. пед. наук СССР",NA
1932-1939,1946,nonfic,NOAUTHOR,Ловушка-богатырь,NA,NA,NA,"Огиз—Молодая гвардия",NA
1949-1950,163,method,"Быков, Б. Б.","Изучай жизнь птиц",NA,NA,NA,"Ленинградский зоологический сад",NA
1932-1939,2001,nonfic,"Лопатин, П. И.","Москва — Волга",NA,NA,NA,Детиздат,NA
1940-1945,1365,method,NOAUTHOR,"Ловите рыбу",NA,NA,"Управл. начальн. и средн. школ НКП РСФСР. Центр. станция юных натуралистов и опытников с. х. В помощь школьнику","НКП РСФСР",NA
1918-1931,3376,fic,NOAUTHOR,ЗАЙКА,Сборник,"Сост. лит. комиссией при педагогии, учреждении «Наш дом», под ред. Н. Телешова. Рис. И. Ефимова.",NA,Гиз,NA
1918-1931,1845,folk,NOAUTHOR,ВОРОБКА,NA,"Рис. Б. Крюкова.",NA,Культура,NA
1918-1931,7434,method,"Пижонков, А. Ф.","Как организовать детскую артель кролиководов и как вести кролиководство в артели",NA,NA,"Пенз. окр. детск. технич. и с.-х. станция",Средволкрай-полиграфтрест,NA
1932-1939,1820,nonfic,"Кудрявцев, С.","Рождение радио. (Жизнь и деятельность А. С. Попова.) Научная ред. и предисловие проф","В.  К. Лебединского","Рис. и обл. художн. Н. А. Травина.",NA,"Огиз—Молодая гвардия",NA
1932-1939,21,method,NOAUTHOR,Авиаконструктор,NA,NA,NA,"Акад. пед. наук СССР",NA
1932-1939,3255,method,"Сипяков, П.","Фотографирование самодельным фотоаппаратом",NA,NA,"Горьковская краевая детская технич. и с.-х. станция","Акад. пед. наук СССР",NA
1918-1931,3165,album,"Ефимов, А.","Мои друзья",NA,"Рис. А. Ефимова.",NA,Радуга,NA
1946-1948,1095,fic,"Мицкевич, Адам",Избранное,NA,"Редакция и. вступительная статья М. Рыльского. Примечания Н. Грекова. Гравюры на дереве Г. Ечеистова и А. Гончарова.",NA,Детгиз,"М; Рыльский, «Великий польский поэт Адам Мицкевич»; Лирические стихотворения: Песня филаретов; (Перев; Н; Асеева.) — Ода молодости; (Перев; П; Карабана.) — К Неману; (Перев; Б; Турганова.) — К М..; (Перев; С; Мар.)—Фарис; (Перев; П; Карабана.) Из «К р ы м-ских сонетов»: Аккерманские степи; (Перев; И; Бунина.) — Тишина на море; (Перев; В; Левина.)— Морское плаванье; (Перев; В; Левина.) — Буря; (Перев; В; Левина.) — Вид гор из степей Козлова; (Перев; М; Лермонтова.) •—-Гробница Потоцкой; (Перев.; Н; Ушакова.) — Байдарская долина; (Перев; А; Майкова.) — Алушта днем; (Перев; А; Майкова.) — Чатырдаг; (Перев; И; Бунина.) — Каролине Яниш; (Перев; В; Брюсова.)— Смерть командира; (Перев; B; Цвелева.)— Песня скитальца; (Перев; Н; Асеева.) — Изменник; (Перев; П; Карабана.) — Над водным простором; (Перев; Н; Асеева.) Народные баллады; Свитезь; (Перев; П; Карабана.) — Свитезян-ка; (Перев; А; Фета.) — Пани Твардовская; (Перев; М; Голодного.) — Воевода; (Перев; А; Пушкина.) — Будрыс и его сыновья; (Перев; А; Пушкина.) Поэмы: Гражина; (Перев; Г; Оболдуева.) — Из поэмы «Конрад Валленрод»: Вступление; (Перев; А; Пушкина.) — Альпухара; (Перев; Н; Асеева.) — Из приложения к третьей части поэмы «Поминки»: К русским друзьям; (Перев; Г; Оболдуеву.) — Памятник Петру Великому; (Перев; П; Антокольского.)— Пан Тадеуш, или последний наезд на Литве; (Перев; C; Мар.) — Примечания"
1918-1931,7200,method,NOAUTHOR,"ПАМЯТКА ПИОНЕРА-ШКОЛЬНИКА",NA,NA,"Моск. бюро юных пионеров, МК ВЛКСМ и МОНО","изд. МК ВЛКСМ",NA
1918-1931,9880,nonfic,"Фишберг, В.","Открытие и завоевание Америки",NA,"Рис. Кравцова.","Библиотека «Дружные ребята»","Крестьянская газета",NA
1932-1939,1731,fic,"де-Костер, Ш.","Тиль Уленшпигель",NA,"Обработка для детей. Переплет и илл. И. Шабанова.",NA,Детиздат,NA
1940-1945,1732,method,NOAUTHOR,"Памятка юного техника, выезжающего в колхоз на полевые работы",NA,NA,"Центр. станция юных техников им. Н. М. Шверника",Полиграфинститут,NA
1951-1952,1826,method,NOAUTHOR,"Что надо знать о гриппе","Радиолекция для школьников",NA,"Министерство здравоохранения СССР. Центральный институт санитарного просвещения. 3 л.","Акад. пед. наук СССР",NA
1940-1945,616,method,"Грюнберг, О. К.","Разводите коз",NA,NA,"Управл. начальн. и средн. школ НКП РСФСР. Центр. станция юных натуралистов и опытников сел. хоз-ва","Наркомпрос РСФСР и ГИЗ",NA
1918-1931,6900,method,NOAUTHOR,"НОВЫЕ ЗИМНИЕ ИГРЫ","Кружок игр и праздников им. В. Г. Марц",NA,"Библиотечка журн. «Пионер»","Огиз—Молодая гвардия",NA
1918-1931,4008,method,NOAUTHOR,"КАК УСТРОИТЬ ЦВЕТНИК",NA,NA,"Центр. бюро юных натуралистов при Главсоцвосе НКП. В помощь юному натуралисту. Серия 1-я. Весна","Огиз—Молодая гвардия",NA
1949-1950,972,nonfic,"Небылицкий, Б.; Бунимович, Т.","В освобожденной Корее","Записки кинооператоров","Фотоиллюстрации в тексте Б. Небылицкого, Т. Бунимовича и С. Киселева.",NA,Детгиз,NA
1946-1948,699,method,NOAUTHOR,"Конкурс на лучшую художественную книгу  1947 — 1950 гг",NA,NA,NA,Детгиз,NA
1940-1945,563,method,NOAUTHOR,"Готовься стать планеристом","Памятка пионеру",NA,NA,Детиздат,NA
1946-1948,1950,method,"Яковлева, П.","Юные садоводы, уничтожайте вредителей сада",NA,NA,"Всероссийское общество охраны природы","Акад. пед. наук СССР",NA
1918-1931,9345,fic,"Товарищ Еж","Книжка об Октябре",NA,NA,"Приложение к журн. «Еж»",Гиз,NA
1918-1931,724,fic,"Барто, А.; Ечеистов, Г.",Жара-жарища,NA,NA,NA,Культура,NA
1918-1931,7449,nonfic,"Пименова, Э.","Один среди дикарей","Путешествие Миклухи Маклая",NA,"Библиотека «Молодой России»",Книга,NA
1918-1931,5040,album,"Кузнецов, К.","Дружная работа",NA,NA,NA,Гиз,NA
1918-1931,636,nonfic,БАМАТЕР,"Международная детская неделя",NA,NA,"Библиотека юного пионера","Новая Москва",NA
1940-1945,977,method,NOAUTHOR,"Как ориентироваться на местности","Советы юному разведчику","Сост. политрук Н. Цыбин.","Пионер! Будь готов к обороне!",Детгиз,NA
1932-1939,184,fic,NOAUTHOR,"База курносых в гостях у Горького",NA,NA,NA,"Вост.-Сибирское краевое изд-во",NA
1932-1939,1522,method,NOAUTHOR,"Как самим построить буер",NA,NA,"Моск. гор. комитет ВЛКСМ, Моск. гор. отд. нар. образ","Акад. пед. наук СССР",NA
1949-1950,1036,nonfic,"Осипов, К.","Первые русские полярные мореходы",NA,NA,"Школьная историческая библиотека",Учпедгиз,"Введение; 1. Интерес к русскому Северу в Западной Европе; 2. Русские полярные мореходы в XVI—XVII вв; 3. Дежнев; 4. Первая Камчатская экспедиция Беринга; 5. Организация второй Камчатской экспедиции; 6. Морские походы в Америку и Японию; 7. Описание северного побережья России; Заключение; Литература"
1932-1939,2040,method,"Львовский, И. И.","Будь готов к санитарной обороне","Пособие для пионеров и школьников, готовящихся к сдаче норм на значок БГСО",NA,"Испол. ком-т Союза обществ Красного Креста и Красного Полумесяца СССР",Био-медгиз,NA
1918-1931,9115,fic,"Стенли, Г.","В стране черных",NA,"Перераб. Н. С.",NA,Знание,NA
1918-1931,9178,album,"Тамби, В. А.",Корабли,"Картинки с текстом",NA,NA,Гиз,NA
1932-1939,2753,method,NOAUTHOR,"Пионерам и школьникам о противовоздушной и противохимической обороне","Пособие для подготовки к сдаче детских норм «Готов к ПВХО»","Изд. 2-е, исправл.","Управление ПВХО Центр. совета Осоавиахима СССР и РСФСР",Воениздат,NA
1918-1931,10536,method,Шеламский,"Пионеры—активные помощники северного комсомола в его борьбе за новый, индустриальный север","Тезисы содоклада т. Шеламзкого «О работе среди детей»",NA,NA,"Акад. пед. наук СССР",NA
1951-1952,904,method,"Купфер, М.","Модель самолета «Летающее крыло»",NA,NA,"Всесоюзное добровольное общество содействия армии, авиации и флоту. Библиотека юного конструктора","Изд-во ДОСААФ",NA
1932-1939,3161,method,NOAUTHOR,"Сами делаем","Книжка 2-я","Рис. Б. Фридкина",NA,"Харьковский областной комитет Красного креста",NA
1932-1939,2238,nonfic,"Микони, К.; Якубович, Б.",Карандаши,NA,NA,NA,Учпедгиз,NA
1932-1939,2311,method,"Михелян, А. А.","Как сделать фюзеляжную модель самолета",NA,NA,"Горьковская краевая детская технич. и с.-х. станция","Акад. пед. наук СССР",NA
